Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,undefined,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,undefined,source_name,SRA Study,undefined
SRR3274229,RNA-Seq,202,5445030594,PRJNA315901,SAMN04571852,3534163448,GEO,public,"sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651644,,GSM2095742,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095742,,cultured cells,SRP072139,
SRR3274230,RNA-Seq,202,5245761230,PRJNA315901,SAMN04571853,3434664411,GEO,public,"sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651645,,GSM2095743,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095743,,cultured cells,SRP072139,
SRR3274231,RNA-Seq,250,4317315250,PRJNA315901,SAMN04571854,2378096034,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651646,,GSM2095744,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095744,,cultured cells,SRP072139,
SRR3274232,RNA-Seq,250,4812037750,PRJNA315901,SAMN04571855,2643614808,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651647,,GSM2095745,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095745,,cultured cells,SRP072139,
SRR3274233,RNA-Seq,250,5047670750,PRJNA315901,SAMN04571856,2795908203,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651648,,GSM2095746,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095746,,cultured cells,SRP072139,
SRR3274234,RNA-Seq,250,5223938750,PRJNA315901,SAMN04571857,2890449504,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651649,,GSM2095747,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095747,,cultured cells,SRP072139,
SRR3274235,RNA-Seq,250,5244955250,PRJNA315901,SAMN04571858,2902041095,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651650,,GSM2095748,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095748,,cultured cells,SRP072139,
SRR3274236,RNA-Seq,250,5327393750,PRJNA315901,SAMN04571859,2930940051,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651651,,GSM2095749,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095749,,cultured cells,SRP072139,
SRR3274237,RNA-Seq,250,5546657250,PRJNA315901,SAMN04571860,2992762221,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651652,,GSM2095750,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095750,,cultured cells,SRP072139,
SRR3274238,RNA-Seq,250,5382237750,PRJNA315901,SAMN04571861,2835435658,GEO,public,"fastq,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1651653,,GSM2095751,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-12-02T00:00:00Z,GSM2095751,,cultured cells,SRP072139,
