Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,undefined,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,undefined,source_name,SRA Study,undefined
SRR10409141,RNA-Seq,150,4458214500,PRJNA588098,SAMN13226833,1604797890,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107359,,GSM4152268,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152268,,H9,SRP228826,
SRR10409143,RNA-Seq,150,3593680800,PRJNA588098,SAMN13226832,1350561138,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107360,,GSM4152269,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152269,,H9,SRP228826,
SRR10409144,RNA-Seq,150,3586849650,PRJNA588098,SAMN13226832,1350092187,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107360,,GSM4152269,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152269,,H9,SRP228826,
SRR10409145,RNA-Seq,150,4099368150,PRJNA588098,SAMN13226831,1520047443,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107361,,GSM4152270,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152270,,H9,SRP228826,
SRR10409148,RNA-Seq,150,3629717250,PRJNA588098,SAMN13226830,1343964895,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107362,,GSM4152271,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152271,,H9,SRP228826,
SRR10409149,RNA-Seq,150,3728422050,PRJNA588098,SAMN13226829,1368067038,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107363,,GSM4152272,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152272,,H9,SRP228826,
SRR10409150,RNA-Seq,150,3714322350,PRJNA588098,SAMN13226829,1365452562,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107363,,GSM4152272,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152272,,H9,SRP228826,
SRR10409152,RNA-Seq,150,3944888700,PRJNA588098,SAMN13226828,1457480624,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107364,,GSM4152273,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152273,,H9,SRP228826,
SRR10409153,RNA-Seq,150,4321252200,PRJNA588098,SAMN13226827,1581348624,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107365,,GSM4152274,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152274,,XFiPSC,SRP228826,
SRR10409154,RNA-Seq,150,4297077300,PRJNA588098,SAMN13226827,1575449035,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107365,,GSM4152274,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152274,,XFiPSC,SRP228826,
SRR10409155,RNA-Seq,150,3892752450,PRJNA588098,SAMN13226826,1432408033,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107366,,GSM4152275,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152275,,XFiPSC,SRP228826,
SRR10409159,RNA-Seq,150,3479312700,PRJNA588098,SAMN13226824,1281849482,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107368,,GSM4152277,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152277,,XFiPSC,SRP228826,
SRR10409160,RNA-Seq,150,3469450500,PRJNA588098,SAMN13226824,1280923509,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107368,,GSM4152277,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152277,,XFiPSC,SRP228826,
SRR10409163,RNA-Seq,150,3984772950,PRJNA588098,SAMN13226822,1447181807,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107370,,GSM4152279,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152279,,XFiPSC,SRP228826,
SRR10409164,RNA-Seq,150,3962644650,PRJNA588098,SAMN13226822,1442262440,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107370,,GSM4152279,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152279,,XFiPSC,SRP228826,
SRR10409142,RNA-Seq,150,4411639050,PRJNA588098,SAMN13226833,1591207360,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107359,,GSM4152268,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152268,,H9,SRP228826,
SRR10409146,RNA-Seq,150,4098688500,PRJNA588098,SAMN13226831,1522556312,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107361,,GSM4152270,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152270,,H9,SRP228826,
SRR10409151,RNA-Seq,150,3955266000,PRJNA588098,SAMN13226828,1458368834,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107364,,GSM4152273,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152273,,H9,SRP228826,
SRR10409156,RNA-Seq,150,3875902200,PRJNA588098,SAMN13226826,1428574596,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107366,,GSM4152275,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152275,,XFiPSC,SRP228826,
SRR10409162,RNA-Seq,150,3222164100,PRJNA588098,SAMN13226823,1241934595,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107369,,GSM4152278,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152278,,XFiPSC,SRP228826,
SRR10409161,RNA-Seq,150,3218583150,PRJNA588098,SAMN13226823,1247529946,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107369,,GSM4152278,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152278,,XFiPSC,SRP228826,
SRR10409147,RNA-Seq,150,3630868800,PRJNA588098,SAMN13226830,1341932813,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107362,,GSM4152271,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152271,,H9,SRP228826,
SRR10409157,RNA-Seq,150,4118283600,PRJNA588098,SAMN13226825,1531747691,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107367,,GSM4152276,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152276,,XFiPSC,SRP228826,
SRR10409158,RNA-Seq,150,4086982950,PRJNA588098,SAMN13226825,1522610479,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX7107367,,GSM4152276,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-01-02T00:00:00Z,GSM4152276,,XFiPSC,SRP228826,
